NGC,Name,Type,Constellation,Magnitude,RA,Dec,Size
I1279,,,Her,,18.185,36.03333333333333,
6597,,Gx,Dra,15.0,18.188333333333333,61.166666666666664,
I4679,,Gx,Tel,,18.19,-56.25,1.9
I1281,,?,Her,,18.19333333333333,36.016666666666666,
6576,,Gx,Her,15.0,18.196666666666665,21.416666666666668,
6565,,Pl,Sgr,13.0,18.198333333333334,-28.183333333333334,0.2
6574,,Gx,Her,12.0,18.198333333333334,14.983333333333333,1.4
6601,,Gx,Dra,15.0,18.198333333333334,61.43333333333333,
6563,,Pl,Sgr,14.0,18.2,-33.86666666666667,0.8
6572,,Pl,Oph,9.0,18.201666666666668,6.85,0.1
6577,,Gx,Her,14.0,18.201666666666668,21.466666666666665,
I1280,,Gx,Her,15.0,18.203333333333333,25.666666666666668,0.4
6545,,Gx,Pav,,18.205,-63.766666666666666,
6579,,,Her,,18.205,21.433333333333334,
6607,,Gx,Dra,15.0,18.205,61.31666666666667,
6580,,,Her,,18.206666666666667,21.433333333333334,
6585,,Gx,Her,13.0,18.206666666666667,39.61666666666667,
I4697,,Gx,Her,15.0,18.208333333333332,25.433333333333334,1.6
6581,,Gx,Her,15.0,18.21,25.416666666666668,
6608,,Gx,Dra,15.0,18.21,61.31666666666667,
6609,,Gx,Dra,15.0,18.21,61.31666666666667,
6568,,OC,Sgr,9.0,18.213333333333335,-21.6,13.0
6621,,Gx,Dra,13.1,18.215,68.36666666666666,2.5
6622,,Gx,Dra,13.0,18.216666666666665,68.33333333333333,
I4680,,Gx,Pav,,18.225,-64.48333333333333,1.7
6569,,Gb,Sgr,8.7,18.226666666666667,-31.833333333333332,5.8
I4686,,Gx,Pav,,18.226666666666667,-57.733333333333334,0.5
6567,,Pl,Sgr,12.0,18.22833333333333,-19.083333333333332,0.1
6586,,Gx,Her,14.0,18.22833333333333,21.083333333333332,
I4687,,Gx,Pav,,18.22833333333333,-57.733333333333334,1.5
I4689,,Gx,Pav,,18.22833333333333,-57.75,0.9
I4708,,Gx,Dra,15.0,18.22833333333333,61.15,
6573,,-,Sgr,,18.23,-22.166666666666668,
6587,,Gx,Her,12.1,18.231666666666666,18.833333333333332,2.3
6591,,Gx,Her,,18.233333333333334,21.033333333333335,
6617,,Gx,Dra,15.0,18.235,61.31666666666667,
I1282,,?,Her,,18.235,21.1,
6593,,Gx,Her,15.0,18.236666666666668,22.283333333333335,
6606,,Gx,Lyr,14.0,18.245,43.266666666666666,
I4692,,Gx,Pav,,18.246666666666666,-58.7,1.7
I4694,,Gx,Pav,,18.256666666666668,-58.21666666666667,2.1
6599,,Gx,Her,13.0,18.26,24.933333333333334,
6600,,-,Her,,18.261666666666667,25.033333333333335,
6583,,OC,Sgr,10.0,18.263333333333332,-22.133333333333333,3.0
I1285,,OC,Her,,18.268333333333334,25.1,
6612,,Gx,Lyr,15.0,18.27,36.083333333333336,
I1286,,Gx,Dra,15.0,18.27,55.56666666666667,1.5
6578,,Pl,Sgr,13.0,18.27166666666667,-20.45,0.2
I4682,,Gx,Pav,,18.273333333333333,-71.58333333333333,2.5
I4701,,Nb,Sgr,,18.275,-16.733333333333334,60.0
6602,,Gx,Her,14.0,18.276666666666667,25.033333333333335,
6589,,,Sgr,,18.281666666666666,-19.766666666666666,5.0
6590,,C+N,Sgr,,18.283333333333335,-19.883333333333333,4.0
6595,,OC,Sgr,7.0,18.283333333333335,-19.883333333333333,11.0
6605,,OC,Ser,6.0,18.285,-14.966666666666667,
I4700,,,Sgr,,18.285,-19.866666666666667,
6610,,-,Her,,18.286666666666665,15.0,
I1283,,Nb,Sgr,,18.288333333333334,-19.733333333333334,
I4695,,,Pav,,18.29,-58.916666666666664,
6596,,OC,Sgr,,18.291666666666668,-16.666666666666668,
I1284,,Nb,Sgr,,18.295,-19.666666666666668,10.0
6616,,Gx,Her,15.0,18.296666666666667,22.25,
6604,,C+N,Ser,6.5,18.301666666666666,-12.233333333333333,60.0
6603,,OC,Sgr,11.0,18.306666666666665,-18.416666666666668,5.0
I4699,,Pl,Tel,12.0,18.308333333333334,-45.983333333333334,0.2
6584,,Gb,Tel,9.2,18.31,-52.21666666666667,7.9
6615,,Gx,Oph,15.0,18.31,13.266666666666667,1.2
6611,Eagle nebula,C+N,Ser,6.0,18.313333333333333,-13.783333333333333,35.0
6611,M  16,C+N,Ser,6.0,18.313333333333333,-13.783333333333333,35.0
6619,,Gx,Her,14.0,18.313333333333333,23.666666666666668,
I4703,Star Queen nebula,OC,Ser,,18.315,-13.783333333333333,
6623,,Gx,Her,14.0,18.325,23.716666666666665,
I4706,,,Sgr,,18.326666666666668,-16.016666666666666,
6643,,Gx,Dra,11.1,18.33,74.56666666666666,3.9
6613,M  18,OC,Sgr,6.9,18.331666666666667,-17.133333333333333,9.0
I4707,,,Sgr,,18.335,-16.016666666666666,
I4696,,Gx,Pav,,18.338333333333335,-64.73333333333333,2.4
6618,M  17,C+N,Sgr,6.0,18.346666666666668,-16.183333333333334,46.0
6618,Omega nebula,C+N,Sgr,6.0,18.346666666666668,-16.183333333333334,46.0
I4698,,,Pav,,18.35,-63.36666666666667,
6557,,Gx,Oct,,18.356666666666666,-76.56666666666666,
